번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
128,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 문화상 조례,2025-06-05,지방의회 9기,문화관광,,
129,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 가축 살처분 등에 의한 심리적 외상 예방 및 치료 지원에 관한 조례 전부개정조례,2025-06-05,지방의회 9기,보건의료,,
130,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 재활용산업 육성 및 지원 조례,2025-06-05,지방의회 9기,환경,,
131,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 재향경우회 지원에 관한 조례 전부개정조례,2025-06-05,지방의회 9기,행정일반,,
132,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 도시와 농어촌 간의 교류 활성화 지원 조례,2025-06-05,지방의회 9기,농림수산,,
133,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 산림복지서비스 지원에 관한 조례,2025-06-05,지방의회 9기,농림수산,,
134,광역지자체,강원특별자치도,강원특별자치도,강원관광재단 설립ㆍ운영 및 지원에 관한 조례 전부개정조례,2025-06-05,지방의회 9기,문화관광,,
135,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도의회 여론조사 조례,2025-06-05,지방의회 9기,의회,,
136,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 재난복구 군장병 안전 지원 조례,2025-06-05,지방의회 9기,안전,,
137,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 약용작물산업 육성 및 지원 조례,2025-06-05,지방의회 9기,농림수산,,
138,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 습지보전 및 관리 조례,2025-06-05,지방의회 9기,환경,,
139,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 지역축제 지원 조례 전부개정조례,2025-06-05,지방의회 9기,문화관광,,
140,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 가축 살처분 등에 의한 심리적 외상 예방 및 치료 지원에 관한 조례,2025-06-05,지방의회 9기,보건의료,,
141,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 지역축제 지원 조례,2025-06-05,지방의회 9기,문화관광,,
142,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 공무원 후생복지 조례,2025-06-05,지방의회 9기,행정일반,,
143,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 도민의 날에 관한 조례,2025-06-05,지방의회 9기,문화관광,,
144,광역지자체,강원특별자치도,강원특별자치도,강원관광재단 설립ㆍ운영 및 지원에 관한 조례,2025-06-05,지방의회 9기,문화관광,,
145,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 소방법률지원에 관한 조례,2025-06-05,지방의회 9기,안전,,
146,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 소방공무원 보건안전 및 복지 조례,2025-06-05,지방의회 9기,안전,,
147,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 소방기관 급식환경 조성 및 지원 조례,2025-06-05,지방의회 9기,안전,,
148,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 공무원 정원 조례,2025-06-05,지방의회 9기,행정일반,,
149,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 국외소재문화유산 보호 및 환수활동 지원 조례,2025-06-05,지방의회 9기,문화관광,,
150,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 독립운동 기념사업 지원 조례,2025-06-05,지방의회 9기,문화관광,,
151,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 한부모가족 생활지원 조례,2025-06-05,지방의회 9기,복지,,
152,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 농업기계화 촉진에 관한 조례,2025-06-05,지방의회 9기,농림수산,,
153,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 화물자동차 운수사업법 위반행위 신고포상금 지급 조례,2025-06-05,지방의회 9기,건설도시,,
154,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 농촌진흥사업 지원에 관한 조례,2025-06-05,지방의회 9기,농림수산,,
155,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 지역연안관리심의회 구성 및 운영에 관한 조례,2025-06-05,지방의회 9기,농림수산,,
156,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도재향경우회 지원에 관한 조례,2025-06-05,지방의회 9기,행정일반,,
157,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 행정기구설치 조례,2025-06-05,지방의회 9기,행정일반,,
158,기초지자체_군,강원특별자치도,양양군,양양군 장기등 및 인체조직 기증 장려에 관한 조례,2025-06-04,지방의회 9기,보건의료,,
159,기초지자체_군,강원특별자치도,양양군,양양군 범죄예방 도시환경디자인 조례,2025-06-04,지방의회 9기,건설도시,,
160,기초지자체_군,강원특별자치도,양양군,양양군 청소년활동 지원에 관한 조례,2025-06-04,지방의회 9기,복지,,
161,기초지자체_군,강원특별자치도,양양군,양양군의회 의원 의정활동비 등 지급에 관한 조례,2025-06-04,지방의회 9기,의회,,
162,기초지자체_군,강원특별자치도,양양군,양양군 용역심의위원회 설치 및 운영 조례,2025-06-04,지방의회 9기,행정일반,,
163,기초지자체_군,강원특별자치도,양양군,양양군의회 의원연구단체 구성 및 운영 조례,2025-06-04,지방의회 9기,의회,,
164,기초지자체_군,강원특별자치도,양양군,양양군 사회복지협의회 지원 조례,2025-06-04,지방의회 9기,복지,,
165,기초지자체_군,강원특별자치도,양양군,양양군 작은영화관 설치 및 운영에 관한 조례,2025-06-04,지방의회 9기,문화관광,,
166,기초지자체_군,강원특별자치도,양양군,양양군 농산물종합가공센터 설치 및 운영 조례,2025-06-04,지방의회 9기,농림수산,,
167,기초지자체_군,강원특별자치도,양양군,양양군 교통약자의 이동편의 증진에 관한 조례,2025-06-04,지방의회 9기,복지,,
168,기초지자체_군,강원특별자치도,양양군,양양군 양성평등 기본 조례,2025-06-04,지방의회 9기,복지,,
169,기초지자체_군,강원특별자치도,평창군,평창군 의용소방대 지원 조례,2025-05-30,지방의회 9기,안전,,
170,기초지자체_군,강원특별자치도,평창군,평창군 김치산업 진흥 조례,2025-05-30,지방의회 9기,농림수산,,
171,기초지자체_군,강원특별자치도,평창군,평창군 축제 발전 및 운영에 관한 조례,2025-05-30,지방의회 9기,문화관광,,
172,기초지자체_군,강원특별자치도,평창군,평창군 음식판매자동차의 영업장소 지정 등에 관한 조례,2025-05-30,지방의회 9기,경제산업,,
173,기초지자체_시,강원특별자치도,강릉시,강릉시의회 공인 조례,2025-05-28,지방의회 9기,의회,,
174,기초지자체_시,강원특별자치도,강릉시,강릉시의회 공무원 복무 조례,2025-05-28,지방의회 9기,의회,,
175,기초지자체_시,강원특별자치도,속초시,속초시 아동ㆍ청소년 친화공간 설치 및 운영 조례,2025-05-23,지방의회 9기,복지,,
176,기초지자체_시,강원특별자치도,속초시,속초시 식품위생 분야 종사자의 건강진단 수수료 조례,2025-05-23,지방의회 9기,보건의료,,
